"sp","term","df","sumsq","meansq","statistic","p.value"
"BETPAP","chilling",1,20.2893368010403,20.2893368010403,0.317020887516254,0.603466369087775
"BETPAP","force",1,63.7339190129132,63.7339190129132,0.995842484576769,0.37479528839981
"BETPAP","photoperiod",1,2.4455677154583,2.4455677154583,0.038211995554036,0.85454637672265
"BETPAP","chilling:force",1,69.5311764705884,69.5311764705884,1.08642463235294,0.356115376684753
"BETPAP","chilling:photoperiod",1,20.5,20.5,0.3203125,0.601661069481651
"BETPAP","Residuals",4,256,64,NA,NA
"CORCOR","force",1,37.5,37.5,5.17241379310345,0.150792224391553
"CORCOR","photoperiod",1,36.75,36.75,5.06896551724138,0.153198269527213
"CORCOR","force:photoperiod",1,10.0833333333333,10.0833333333333,1.39080459770115,0.35955523928646
"CORCOR","Residuals",2,14.5,7.25,NA,NA
"FRANIG","photoperiod",1,160.166666666667,160.166666666667,9.61000000000001,0.0362211110374391
"FRANIG","Residuals",4,66.6666666666666,16.6666666666667,NA,NA
"ILEMUC","chilling",1,728.00641025641,728.00641025641,8.69708422927275,0.0112917549534277
"ILEMUC","force",1,771.714430611582,771.714430611582,9.21923943171089,0.00954801033540902
"ILEMUC","photoperiod",1,358.89576482957,358.89576482957,4.28752639025894,0.0588621584306625
"ILEMUC","chilling:force",1,161.376709458662,161.376709458662,1.9278770283225,0.18832345078278
"ILEMUC","chilling:photoperiod",1,266.978800610548,266.978800610548,3.18944597688686,0.0974486008757469
"ILEMUC","force:photoperiod",1,19.787511018373,19.787511018373,0.236390294906661,0.634918639849539
"ILEMUC","Residuals",13,1088.19037321485,83.706951785758,NA,NA
"LONCAN","Residuals",1,1.26217744835362e-29,1.26217744835362e-29,NA,NA
"LYOLIG","force",1,726.297619047619,726.297619047619,8.97895408163266,0.0578304191769405
"LYOLIG","photoperiod",1,0.593137254901972,0.593137254901972,0.00733274078862329,0.937154244091345
"LYOLIG","force:photoperiod",1,392.156862745098,392.156862745098,4.84809308338721,0.114974258763936
"LYOLIG","Residuals",3,242.666666666666,80.8888888888888,NA,NA
"NYSSYL","force",1,200.694444444444,200.694444444444,11.986230351292,0.00854119628620583
"NYSSYL","photoperiod",1,757.440170940172,757.440170940172,45.2371882607046,0.000148694044090131
"NYSSYL","force:photoperiod",1,8.83205128205138,8.83205128205138,0.527483465893327,0.488368812297424
"NYSSYL","Residuals",8,133.95,16.74375,NA,NA
"POPGRA","chilling",1,44.7289032927147,44.7289032927147,1.79998994911761,0.196395664130012
"POPGRA","force",1,254.784946201982,254.784946201982,10.2531094793181,0.00494020076871242
"POPGRA","photoperiod",1,206.688610831868,206.688610831868,8.31760661914194,0.00988025439623989
"POPGRA","chilling:force",1,18.26024722206,18.26024722206,0.734832715504207,0.402590576156062
"POPGRA","chilling:photoperiod",1,5.97377087646782,5.97377087646782,0.240397746074962,0.62984206586363
"POPGRA","force:photoperiod",1,16.1119910507775,16.1119910507775,0.648382138097177,0.431200416944298
"POPGRA","Residuals",18,447.29153052413,24.8495294735628,NA,NA
"PRUPEN","force",1,1771.90476190476,1771.90476190476,19.2002063983489,0.00322738045074717
"PRUPEN","photoperiod",1,896.095238095238,896.095238095238,9.71001031991747,0.016936173377939
"PRUPEN","Residuals",7,645.999999999998,92.285714285714,NA,NA
"QUEALB","force",1,83.3333333333333,83.3333333333333,1.72711571675303,0.319270957239894
"QUEALB","photoperiod",1,28.1666666666667,28.1666666666667,0.583765112262523,0.524672924317365
"QUEALB","Residuals",2,96.4999999999998,48.2499999999999,NA,NA
"QUERUB","chilling",1,44.3571428571429,44.3571428571429,2.94070130120918,0.106952366468212
"QUERUB","force",1,129.080035428489,129.080035428489,8.55749048957422,0.0104441132807361
"QUERUB","photoperiod",1,246.813840301942,246.813840301942,16.3627712377665,0.00105778790574907
"QUERUB","chilling:force",1,64.4825818183997,64.4825818183997,4.27493747443113,0.0563825152009269
"QUERUB","chilling:photoperiod",1,7.44951836584591,7.44951836584591,0.493873296176404,0.49296783922628
"QUERUB","force:photoperiod",1,14.5134444172177,14.5134444172177,0.962183362895893,0.342194663227657
"QUERUB","Residuals",15,226.257982265508,15.0838654843672,NA,NA
"QUEVEL","force",1,53.3333333333334,53.3333333333334,16.4102564102564,0.0558787670500341
"QUEVEL","photoperiod",1,28.1666666666667,28.1666666666667,8.66666666666666,0.0986121811340027
"QUEVEL","Residuals",2,6.5,3.25,NA,NA
"RHOPRI","force",1,328.05,328.05,1.60076447625244,0.261552044810104
"RHOPRI","photoperiod",1,36.6166666666667,36.6166666666667,0.178675992192583,0.690076321846303
"RHOPRI","force:photoperiod",1,138.666666666667,138.666666666667,0.676642810670137,0.448183064007053
"RHOPRI","Residuals",5,1024.66666666667,204.933333333333,NA,NA
"VACMYR","force",1,177.633333333334,177.633333333334,8.77201646090536,0.0594599317849384
"VACMYR","photoperiod",1,54.4500000000001,54.4500000000001,2.68888888888889,0.199582718999791
"VACMYR","Residuals",3,60.75,20.25,NA,NA
