SOUID,DATE,TG,Q_TG,TN
135165,19790717,158,0,140
135165,19790718,152,0,148
135165,19790719,138,0,130
135165,19790720,141,0,115
135165,19790721,128,0,130
135165,19790722,137,0,120
135165,19790723,137,0,102
135165,19790724,131,0,150
135165,19790725,133,0,135
135165,19790726,139,0,126
135165,19790727,146,0,125
135165,19790728,154,0,130
135165,19790729,136,0,145
135165,19790730,165,0,135
135165,19790731,172,0,80
135165,19790801,179,0,119
135165,19790802,174,0,160
135165,19790803,164,0,118
135165,19790804,153,0,112
135165,19790805,152,0,170
135165,19790806,150,0,105
135165,19790807,143,0,122
135165,19790808,179,0,164
135165,19790809,158,0,168
135165,19790810,124,0,147
135165,19790811,146,0,130
135165,19790812,146,0,143
135165,19790813,155,0,140
135165,19790814,168,0,129
135165,19790815,184,0,123
135165,19790816,193,0,102
135165,19790817,201,0,131
135165,19790818,195,0,92
135165,19790819,180,0,128
135165,19790820,167,0,156
135165,19790821,165,0,130
135165,19790822,148,0,130
135165,19790823,136,0,120
135165,19790824,141,0,104
135165,19790825,138,0,108
135165,19790826,122,0,135
135165,19790827,117,0,156
135165,19790828,139,0,125
135165,19790829,156,0,165
135165,19790830,154,0,165
135165,19790831,160,0,172
135165,19790901,172,0,130
135165,19790902,187,0,117
135165,19790903,159,0,139
135165,19790904,147,0,100
135165,19790905,147,0,161
135165,19790906,165,0,159
135165,19790907,147,0,147
135165,19790908,156,0,132
135165,19790909,122,0,104
135165,19790910,139,0,94
135165,19790911,151,0,109
135165,19790912,131,0,140
135165,19790913,142,0,155
135165,19790914,107,0,153
135165,19790915,96,0,137
135165,19790916,112,0,145
135165,19790917,122,0,120
135165,19790918,140,0,113
135165,19790919,141,0,102
135165,19790920,140,0,62
135165,19790921,122,0,21
135165,19790922,103,0,91
135165,19790923,74,0,52
135165,19790924,92,0,87
135165,19790925,86,0,115
135165,19790926,108,0,74
135165,19790927,133,0,123
135165,19790928,105,0,82
135165,19790929,109,0,102
135165,19790930,47,0,105
135165,19791001,35,0,110
135165,19791002,39,0,68
135165,19791003,61,0,44
135165,19791004,63,0,38
135165,19791005,59,0,60
135165,19791006,50,0,70
135165,19791007,65,0,48
135165,19791008,71,0,10
135165,19791009,114,0,4
135165,19791010,119,0,4
135165,19791011,115,0,10
135165,19791012,89,0,30
135165,19791013,99,0,57
135165,19791014,117,0,13
135165,19791015,109,0,20
135165,19791016,123,0,8
135165,19791017,103,0,0
135165,19791018,95,0,11
135165,19791019,100,0,-8
135165,19791020,109,0,16
135165,19791021,79,0,58
135165,19791022,21,0,74
135165,19791023,4,0,74
135165,19791024,34,0,-14
135165,19791025,25,0,45
135165,19791026,17,0,65
135165,19791027,35,0,80
135165,19791028,53,0,10
135165,19791029,39,0,22
135165,19791030,34,0,24
135165,19791031,31,0,60
135165,19791101,28,0,80
135165,19791102,28,0,48
135165,19791103,28,0,0
135165,19791104,63,0,75
135165,19791105,70,0,43
135165,19791106,55,0,53
135165,19791107,55,0,60
135165,19791108,59,0,69
135165,19791109,35,0,67
135165,19791110,41,0,77
135165,19791111,44,0,68
135165,19791112,42,0,64
135165,19791113,27,0,64
135165,19791114,25,0,28
135165,19791115,38,0,20
135165,19791116,58,0,45
135165,19791117,41,0,80
135165,19791118,39,0,73
135165,19791119,45,0,70
135165,19791120,39,0,74
135165,19791121,35,0,56
135165,19791122,33,0,76
135165,19791123,52,0,70
135165,19791124,53,0,52
135165,19791125,48,0,40
135165,19791126,65,0,30
135165,19791127,59,0,40
135165,19791128,41,0,38
135165,19791129,82,0,34
135165,19791130,68,0,34
135165,19791201,88,0,60
135165,19791202,82,0,32
135165,19791203,87,0,20
135165,19791204,69,0,27
135165,19791205,77,0,85
135165,19791206,64,0,55
135165,19791207,57,0,19
135165,19791208,-4,0,25
135165,19791209,31,0,50
135165,19791210,47,0,17
135165,19791211,-14,0,-3
135165,19791212,-70,0,-30
135165,19791213,-31,0,44
135165,19791214,-19,0,27
135165,19791215,-20,0,28
135165,19791216,4,0,50
135165,19791217,18,0,-13
135165,19791218,24,0,22
135165,19791219,0,0,55
135165,19791220,-18,0,40
135165,19791221,-44,0,25
135165,19791222,5,0,-9
135165,19791223,29,0,55
135165,19791224,21,0,41
135165,19791225,7,0,59
135165,19791226,20,0,50
135165,19791227,20,0,31
135165,19791228,27,0,34
135165,19791229,26,0,2
135165,19791230,18,0,-18
135165,19791231,-3,0,30
135165,19800101,-4,0,8
135165,19800102,-21,0,8
135165,19800103,-56,0,12
135165,19800104,-89,0,-2
135165,19800105,-20,0,-10
135165,19800106,-14,0,-21
135165,19800107,-15,0,39
135165,19800108,-7,0,24
135165,19800109,-18,0,38
135165,19800110,-20,0,14
135165,19800111,-19,0,0
135165,19800112,-61,0,0
135165,19800113,-28,0,-5
135165,19800114,-26,0,6
135165,19800115,-9,0,30
135165,19800116,-49,0,18
135165,19800117,-54,0,10
135165,19800118,-2,0,0
135165,19800119,-66,0,-19
135165,19800120,-15,0,5
135165,19800121,-15,0,-9
135165,19800122,2,0,-39
135165,19800123,9,0,-35
135165,19800124,3,0,-38
135165,19800125,-44,0,-18
135165,19800126,-95,0,-29
135165,19800127,-53,0,-43
135165,19800128,-28,0,-30
135165,19800129,-10,0,-23
135165,19800130,8,0,3
135165,19800131,-12,0,-14
135165,19800201,-39,0,-5
135165,19800202,-17,0,5
135165,19800203,-34,0,12
135165,19800204,-96,0,10
135165,19800205,-38,0,-5
135165,19800206,-28,0,-40
135165,19800207,-15,0,15
135165,19800208,-43,0,0
135165,19800209,-21,0,-12
135165,19800210,-1,0,-11
135165,19800211,5,0,-22
135165,19800212,-12,0,-45
135165,19800213,-36,0,-85
135165,19800214,-6,0,-30
135165,19800215,4,0,-80
135165,19800216,7,0,-114
135165,19800217,-14,0,-94
135165,19800218,-31,0,-114
135165,19800219,-16,0,-5
135165,19800220,-11,0,-16
135165,19800221,-17,0,23
135165,19800222,-10,0,49
135165,19800223,-22,0,38
135165,19800224,-19,0,26
135165,19800225,-18,0,20
135165,19800226,-30,0,-5
135165,19800227,-20,0,10
135165,19800228,-17,0,10
135165,19800229,15,0,5
135165,19800301,37,0,-10
135165,19800302,11,0,-14
135165,19800303,-19,0,-2
135165,19800304,-10,0,0
135165,19800305,-15,0,-11
135165,19800306,1,0,-10
135165,19800307,14,0,-38
135165,19800308,11,0,-26
135165,19800309,12,0,-19
135165,19800310,5,0,-10
135165,19800311,1,0,0
135165,19800312,-2,0,25
135165,19800313,13,0,-2
135165,19800314,-6,0,-31
135165,19800315,-2,0,-1
135165,19800316,-10,0,8
135165,19800317,6,0,-21
135165,19800318,-22,0,-21
135165,19800319,-38,0,-45
135165,19800320,-43,0,-47
135165,19800321,-41,0,-39
135165,19800322,-30,0,-55
135165,19800323,-20,0,-50
135165,19800324,-9,0,2
135165,19800325,5,0,-20
135165,19800326,-1,0,-79
135165,19800327,5,0,-52
135165,19800328,29,0,-71
135165,19800329,69,0,-72
135165,19800330,39,0,-38
135165,19800331,43,0,-40
135165,19800401,27,0,-39
135165,19800402,19,0,-11
135165,19800403,25,0,2
135165,19800404,31,0,38
135165,19800405,31,0,42
135165,19800406,40,0,39
135165,19800407,35,0,38
135165,19800408,37,0,39
135165,19800409,34,0,48
135165,19800410,31,0,20
135165,19800411,66,0,37
135165,19800412,76,0,47
135165,19800413,66,0,68
135165,19800414,86,0,63
135165,19800415,83,0,60
135165,19800416,96,0,56
135165,19800417,82,0,4
135165,19800418,59,0,58
135165,19800419,29,0,60
135165,19800420,31,0,26
135165,19800421,41,0,56
135165,19800422,46,0,78
135165,19800423,66,0,61
135165,19800424,78,0,80
135165,19800425,80,0,76
135165,19800426,81,0,40
135165,19800427,73,0,63
135165,19800428,74,0,62
135165,19800429,85,0,59
135165,19800430,94,0,69
135165,19800501,86,0,72
135165,19800502,72,0,55
135165,19800503,52,0,42
135165,19800504,58,0,65
135165,19800505,95,0,108
135165,19800506,80,0,96
135165,19800507,106,0,80
135165,19800508,90,0,82
135165,19800509,74,0,68
135165,19800510,88,0,62
135165,19800511,94,0,90
135165,19800512,88,0,72
135165,19800513,78,0,90
135165,19800514,72,0,90
135165,19800515,91,0,74
135165,19800516,128,0,70
135165,19800517,164,0,50
135165,19800518,147,0,55
135165,19800519,125,0,36
135165,19800520,98,0,11
135165,19800521,61,0,24
135165,19800522,73,0,57
135165,19800523,105,0,89
135165,19800524,82,0,101
135165,19800525,91,0,80
135165,19800526,111,0,107
135165,19800527,130,0,63
135165,19800528,156,0,102
135165,19800529,126,0,82
135165,19800530,138,0,79
135165,19800531,122,0,82
135165,19800601,115,0,102
135165,19800602,118,0,114
135165,19800603,146,0,119
135165,19800604,162,0,82
135165,19800605,179,0,69
135165,19800606,175,0,100
135165,19800607,170,0,108
135165,19800608,172,0,86
135165,19800609,194,0,90
135165,19800610,205,0,84
135165,19800611,202,0,93
135165,19800612,158,0,92
135165,19800613,139,0,129
135165,19800614,165,0,118
135165,19800615,162,0,100
135165,19800616,144,0,99
135165,19800617,155,0,93
135165,19800618,147,0,120
135165,19800619,141,0,130
135165,19800620,136,0,101
135165,19800621,135,0,110
135165,19800622,140,0,90
135165,19800623,142,0,103
135165,19800624,142,0,96
135165,19800625,139,0,108
135165,19800626,141,0,80
135165,19800627,138,0,75
135165,19800628,125,0,134
135165,19800629,130,0,116
135165,19800630,145,0,145
135165,19800701,148,0,138
135165,19800702,132,0,116
135165,19800703,164,0,165
135165,19800704,159,0,136
135165,19800705,153,0,108
135165,19800706,162,0,102
135165,19800707,159,0,109
135165,19800708,161,0,100
135165,19800709,183,0,98
135165,19800710,156,0,109
135165,19800711,183,0,174
135165,19800712,156,0,154
135165,19800713,137,0,131
135165,19800714,150,0,140
135165,19800715,140,0,136
135165,19800716,146,0,120
135165,19800717,136,0,114
135165,19800718,137,0,112
135165,19800719,145,0,113
135165,19800720,161,0,138
135165,19800721,154,0,120
135165,19800722,159,0,130
135165,19800723,157,0,126
135165,19800724,159,0,117
135165,19800725,186,0,118
135165,19800726,186,0,72
135165,19800727,201,0,129
135165,19800728,199,0,129
135165,19800729,201,0,113
135165,19800730,202,0,126
135165,19800731,207,0,130
135165,19800801,-9999,9,92
135165,19800802,-9999,9,140
135165,19800803,-9999,9,146
135165,19800804,-9999,9,125
135165,19800805,-9999,9,129
135165,19800806,-9999,9,170
135165,19800807,-9999,9,149
135165,19800808,-9999,9,150
135165,19800809,-9999,9,148
135165,19800810,-9999,9,150
135165,19800811,-9999,9,151
135165,19800812,-9999,9,150
135165,19800813,-9999,9,164
135165,19800814,-9999,9,158
135165,19800815,-9999,9,115
135165,19800816,-9999,9,122
135165,19800817,-9999,9,116
135165,19800818,-9999,9,121
135165,19800819,-9999,9,123
135165,19800820,-9999,9,87
135165,19800821,-9999,9,91
135165,19800822,-9999,9,131
135165,19800823,-9999,9,132
135165,19800824,-9999,9,139
135165,19800825,-9999,9,119
135165,19800826,-9999,9,114
135165,19800827,-9999,9,118
135165,19800828,-9999,9,130
135165,19800829,-9999,9,116
135165,19800830,-9999,9,144
135165,19800831,-9999,9,99
135165,19800901,127,0,147
135165,19800902,137,0,133
135165,19800903,166,0,113
135165,19800904,168,0,100
135165,19800905,164,0,103
135165,19800906,165,0,91
135165,19800907,161,0,64
135165,19800908,171,0,51
135165,19800909,142,0,71
135165,19800910,138,0,50
135165,19800911,144,0,92
135165,19800912,136,0,88
135165,19800913,136,0,53
135165,19800914,136,0,41
135165,19800915,131,0,48
135165,19800916,121,0,33
135165,19800917,130,0,116
135165,19800918,138,0,94
135165,19800919,135,0,83
135165,19800920,147,0,69
135165,19800921,160,0,75
135165,19800922,147,0,72
135165,19800923,134,0,72
135165,19800924,135,0,108
135165,19800925,139,0,110
135165,19800926,126,0,102
135165,19800927,106,0,106
135165,19800928,110,0,68
135165,19800929,124,0,63
135165,19800930,131,0,70
135165,19801001,126,0,92
135165,19801002,123,0,82
135165,19801003,117,0,54
135165,19801004,89,0,62
135165,19801005,113,0,36
135165,19801006,108,0,32
135165,19801007,111,0,71
135165,19801008,101,0,41
135165,19801009,94,0,72
135165,19801010,98,0,71
135165,19801011,72,0,0
135165,19801012,95,0,5
135165,19801013,80,0,0
135165,19801014,70,0,10
135165,19801015,72,0,36
135165,19801016,77,0,32
135165,19801017,107,0,38
135165,19801018,112,0,50
135165,19801019,85,0,24
135165,19801020,67,0,20
135165,19801021,49,0,0
135165,19801022,59,0,18
135165,19801023,95,0,27
135165,19801024,98,0,50
135165,19801025,81,0,70
135165,19801026,36,0,90
135165,19801027,74,0,80
135165,19801028,116,0,75
135165,19801029,100,0,96
135165,19801030,57,0,80
135165,19801031,-1,0,36
135165,19801101,11,0,24
135165,19801102,16,0,42
135165,19801103,11,0,4
135165,19801104,10,0,-15
135165,19801105,13,0,68
135165,19801106,16,0,40
135165,19801107,33,0,5
135165,19801108,32,0,-6
135165,19801109,38,0,-27
135165,19801110,13,0,8
135165,19801111,34,0,0
135165,19801112,45,0,3
135165,19801113,40,0,16
135165,19801114,51,0,1
135165,19801115,60,0,4
135165,19801116,80,0,6
135165,19801117,94,0,2
135165,19801118,86,0,-10
135165,19801119,26,0,20
135165,19801120,38,0,58
135165,19801121,84,0,40
135165,19801122,91,0,11
135165,19801123,100,0,36
135165,19801124,80,0,20
135165,19801125,46,0,12
135165,19801126,18,0,-15
135165,19801127,25,0,-4
135165,19801128,33,0,-40
135165,19801129,-27,0,-60
135165,19801130,-46,0,-9
135165,19801201,-1,0,-60
135165,19801202,19,0,-71
135165,19801203,-19,0,-13
135165,19801204,-40,0,-60
135165,19801205,-65,0,-70
135165,19801206,-77,0,-90
135165,19801207,-79,0,-8
135165,19801208,-17,0,10
135165,19801209,37,0,33
135165,19801210,47,0,18
135165,19801211,60,0,-7
135165,19801212,60,0,16
135165,19801213,58,0,15
135165,19801214,66,0,9
135165,19801215,58,0,3
135165,19801216,25,0,-3
135165,19801217,18,0,-7
135165,19801218,11,0,0
135165,19801219,19,0,5
135165,19801220,11,0,2
135165,19801221,22,0,5
135165,19801222,24,0,-14
135165,19801223,64,0,-55
135165,19801224,57,0,10
135165,19801225,61,0,25
135165,19801226,34,0,22
135165,19801227,16,0,14
135165,19801228,29,0,15
135165,19801229,50,0,9
135165,19801230,64,0,0
135165,19801231,60,0,-12
135165,19810101,32,0,-12
135165,19810102,28,0,-12
135165,19810103,18,0,-14
135165,19810104,2,0,-58
135165,19810105,-34,0,-63
135165,19810106,-97,0,-36
135165,19810107,-79,0,-78
135165,19810108,-40,0,-55
135165,19810109,18,0,-20
135165,19810110,10,0,-10
135165,19810111,-2,0,-45
135165,19810112,-1,0,10
135165,19810113,-11,0,16
135165,19810114,3,0,0
135165,19810115,10,0,-10
135165,19810116,7,0,-16
135165,19810117,-28,0,-20
135165,19810118,-61,0,1
135165,19810119,-46,0,-14
135165,19810120,-45,0,-28
135165,19810121,-54,0,30
135165,19810122,-15,0,0
135165,19810123,13,0,-20
135165,19810124,21,0,-14
135165,19810125,19,0,-72
135165,19810126,-4,0,-113
135165,19810127,-5,0,2
135165,19810128,35,0,39
135165,19810129,26,0,45
135165,19810130,31,0,24
135165,19810131,33,0,40
135165,19810201,40,0,5
135165,19810202,40,0,-17
135165,19810203,37,0,-32
135165,19810204,21,0,-51
135165,19810205,16,0,-28
135165,19810206,14,0,-89
135165,19810207,45,0,-142
135165,19810208,57,0,-170
135165,19810209,27,0,-150
135165,19810210,11,0,-70
135165,19810211,-2,0,-20
135165,19810212,-11,0,-40
135165,19810213,-20,0,-59
135165,19810214,-23,0,-32
135165,19810215,9,0,-59
135165,19810216,21,0,-28
135165,19810217,15,0,7
135165,19810218,9,0,-5
135165,19810219,-11,0,18
135165,19810220,-36,0,-2
135165,19810221,-22,0,30
135165,19810222,-19,0,33
135165,19810223,-15,0,21
135165,19810224,2,0,18
135165,19810225,5,0,8
135165,19810226,-9,0,40
135165,19810227,-1,0,32
135165,19810228,-18,0,15
135165,19810301,-8,0,-10
135165,19810302,-2,0,-10
135165,19810303,-6,0,0
135165,19810304,-29,0,10
135165,19810305,5,0,-12
135165,19810306,4,0,20
135165,19810307,31,0,17
135165,19810308,72,0,-11
135165,19810309,58,0,-6
135165,19810310,33,0,24
135165,19810311,8,0,15
135165,19810312,-11,0,8
135165,19810313,-5,0,12
135165,19810314,23,0,-2
135165,19810315,-24,0,-10
135165,19810316,-9,0,-27
135165,19810317,14,0,3
135165,19810318,12,0,-13
135165,19810319,35,0,12
135165,19810320,40,0,5
135165,19810321,64,0,-14
135165,19810322,109,0,-26
135165,19810323,56,0,1
135165,19810324,60,0,11
135165,19810325,45,0,51
135165,19810326,84,0,42
135165,19810327,46,0,25
135165,19810328,19,0,12
135165,19810329,40,0,58
135165,19810330,60,0,60
135165,19810331,73,0,44
135165,19810401,53,0,25
135165,19810402,76,0,52
135165,19810403,63,0,71
135165,19810404,69,0,85
135165,19810405,66,0,58
135165,19810406,81,0,35
135165,19810407,62,0,45
135165,19810408,63,0,32
135165,19810409,75,0,28
135165,19810410,87,0,-18
135165,19810411,82,0,-19
135165,19810412,115,0,36
135165,19810413,80,0,80
135165,19810414,90,0,48
135165,19810415,90,0,66
135165,19810416,50,0,19
135165,19810417,34,0,45
135165,19810418,54,0,41
135165,19810419,43,0,53
135165,19810420,53,0,0
135165,19810421,57,0,22
135165,19810422,19,0,44
135165,19810423,20,0,20
135165,19810424,27,0,19
135165,19810425,38,0,60
135165,19810426,57,0,35
135165,19810427,63,0,0
135165,19810428,54,0,63
135165,19810429,61,0,75
135165,19810430,69,0,40
135165,19810501,50,0,72
135165,19810502,37,0,80
135165,19810503,54,0,85
135165,19810504,68,0,86
135165,19810505,85,0,89
135165,19810506,83,0,78
135165,19810507,107,0,29
135165,19810508,117,0,20
135165,19810509,133,0,2
135165,19810510,181,0,11
135165,19810511,177,0,30
135165,19810512,174,0,21
135165,19810513,156,0,60
135165,19810514,162,0,59
135165,19810515,160,0,29
135165,19810516,147,0,93
135165,19810517,157,0,121
135165,19810518,117,0,100
135165,19810519,140,0,110
135165,19810520,153,0,135
135165,19810521,173,0,129
135165,19810522,188,0,154
135165,19810523,146,0,141
135165,19810524,134,0,158
135165,19810525,130,0,120
135165,19810526,149,0,67
135165,19810527,122,0,108
135165,19810528,131,0,103
135165,19810529,136,0,74
135165,19810530,149,0,92
135165,19810531,165,0,64
135165,19810601,172,0,96
135165,19810602,176,0,71
135165,19810603,157,0,110
135165,19810604,150,0,115
135165,19810605,143,0,112
135165,19810606,140,0,118
135165,19810607,155,0,67
135165,19810608,164,0,128
135165,19810609,169,0,102
135165,19810610,145,0,142
135165,19810611,138,0,150
135165,19810612,129,0,88
135165,19810613,121,0,89
135165,19810614,129,0,94
135165,19810615,150,0,120
135165,19810616,129,0,150
135165,19810617,142,0,134
135165,19810618,135,0,111
135165,19810619,133,0,138
135165,19810620,118,0,136
135165,19810621,130,0,141
135165,19810622,125,0,139
135165,19810623,159,0,143
135165,19810624,140,0,138
135165,19810625,149,0,146
135165,19810626,141,0,181
135165,19810627,166,0,161
135165,19810628,170,0,132
135165,19810629,201,0,139
135165,19810630,139,0,175
135165,19810701,135,0,158
135165,19810702,161,0,139
135165,19810703,152,0,141
135165,19810704,158,0,190
135165,19810705,158,0,153
135165,19810706,188,0,147
135165,19810707,193,0,145
135165,19810708,199,0,152
135165,19810709,206,0,144
135165,19810710,203,0,146
135165,19810711,215,0,132
135165,19810712,193,0,128
135165,19810713,164,0,133
135165,19810714,161,0,156
135165,19810715,147,0,134
135165,19810716,154,0,138
135165,19810717,158,0,106
135165,19810718,155,0,152
135165,19810719,161,0,143
135165,19810720,162,0,141
135165,19810721,161,0,137
135165,19810722,162,0,140
135165,19810723,170,0,143
135165,19810724,181,0,150
135165,19810725,141,0,142
135165,19810726,144,0,159
135165,19810727,156,0,143
135165,19810728,169,0,140
135165,19810729,161,0,145
135165,19810730,152,0,120
135165,19810731,153,0,138
135165,19810801,146,0,140
135165,19810802,152,0,131
135165,19810803,158,0,148
135165,19810804,181,0,138
135165,19810805,202,0,146
135165,19810806,215,0,136
135165,19810807,214,0,139
135165,19810808,218,0,150
135165,19810809,184,0,130
135165,19810810,165,0,156
135165,19810811,178,0,150
135165,19810812,185,0,100
135165,19810813,204,0,134
135165,19810814,192,0,156
135165,19810815,191,0,133
135165,19810816,166,0,155
135165,19810817,157,0,155
135165,19810818,150,0,135
135165,19810819,157,0,147
135165,19810820,137,0,128
135165,19810821,138,0,150
135165,19810822,143,0,151
135165,19810823,144,0,131
135165,19810824,146,0,134
135165,19810825,158,0,144
135165,19810826,153,0,140
135165,19810827,145,0,138
135165,19810828,137,0,128
135165,19810829,146,0,126
135165,19810830,129,0,100
135165,19810831,142,0,128
135165,19810901,134,0,129
135165,19810902,141,0,141
135165,19810903,146,0,148
135165,19810904,144,0,125
135165,19810905,152,0,109
135165,19810906,160,0,64
135165,19810907,144,0,61
135165,19810908,175,0,134
135165,19810909,164,0,138
135165,19810910,155,0,116
135165,19810911,140,0,78
135165,19810912,145,0,111
135165,19810913,141,0,99
135165,19810914,133,0,48
135165,19810915,124,0,30
135165,19810916,120,0,42
135165,19810917,106,0,76
135165,19810918,104,0,109
135165,19810919,112,0,117
135165,19810920,129,0,60
135165,19810921,143,0,113
135165,19810922,141,0,117
135165,19810923,145,0,121
135165,19810924,135,0,117
135165,19810925,136,0,91
135165,19810926,148,0,115
135165,19810927,163,0,104
135165,19810928,141,0,100
135165,19810929,135,0,120
135165,19810930,123,0,119
135165,19811001,134,0,134
135165,19811002,151,0,152
135165,19811003,132,0,142
135165,19811004,103,0,110
135165,19811005,127,0,100
135165,19811006,118,0,86
135165,19811007,122,0,42
135165,19811008,112,0,45
135165,19811009,120,0,36
135165,19811010,111,0,102
135165,19811011,92,0,95
135165,19811012,87,0,46
135165,19811013,77,0,70
135165,19811014,75,0,69
135165,19811015,70,0,103
135165,19811016,89,0,100
135165,19811017,79,0,110
135165,19811018,62,0,116
135165,19811019,60,0,108
135165,19811020,95,0,96
135165,19811021,78,0,66
135165,19811022,45,0,45
135165,19811023,47,0,78
135165,19811024,52,0,52
135165,19811025,48,0,100
135165,19811026,55,0,98
135165,19811027,64,0,100
135165,19811028,65,0,96
135165,19811029,72,0,66
135165,19811030,65,0,98
135165,19811031,58,0,67
135165,19811101,79,0,61
135165,19811102,95,0,60
135165,19811103,80,0,66
135165,19811104,94,0,62
135165,19811105,73,0,50
135165,19811106,54,0,39
135165,19811107,20,0,22
135165,19811108,16,0,75
135165,19811109,8,0,88
135165,19811110,13,0,80
135165,19811111,72,0,78
135165,19811112,77,0,79
135165,19811113,54,0,76
135165,19811114,24,0,48
135165,19811115,1,0,22
135165,19811116,16,0,-5
135165,19811117,34,0,51
135165,19811118,59,0,76
135165,19811119,67,0,66
135165,19811120,74,0,61
