STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860324,-16.5,-5.6,-23.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860325,-14.2,-11.0,-22.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860326,-12.7,-1.8,-18.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860327,-12.1,4.8,-21.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860328,-11.1,-7.0,-18.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860329,-9.6,-0.8,-14.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860330,-6.8,-0.1,-11.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860331,-9.2,-7.0,-17.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860401,-18.0,-10.9,-24.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860402,-16.3,-6.5,-21.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860403,-4.2,6.2,-15.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860404,0.2,10.1,-9.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860405,5.3,10.2,0.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860406,0.8,4.0,-5.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860407,-10.4,-4.4,-16.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860408,-7.6,-0.8,-18.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860409,-18.1,-14.6,-22.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860410,-21.3,-17.1,-24.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860411,-19.6,-11.5,-22.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860412,-14.4,-9.9,-18.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860413,-16.6,-12.5,-23.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860414,-14.7,1.1,-23.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860415,-2.2,2.7,-7.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860416,-4.7,0.6,-11.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860417,-2.6,3.6,-7.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860418,-2.3,-0.3,-7.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860419,-6.1,1.0,-7.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860420,0.3,6.6,-2.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860421,3.1,5.0,-3.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860422,-4.3,-1.6,-8.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860423,-5.3,-0.3,-9.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860424,-4.3,-0.7,-9.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860425,-6.3,-3.2,-11.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860426,-0.9,9.7,-6.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860427,0.7,15.3,-2.9,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860428,6.7,10.3,0.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860429,-0.4,1.7,-2.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860430,-1.3,0.3,-4.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860501,-0.4,8.3,-6.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860502,3.4,10.7,-1.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860503,2.7,8.7,-1.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860504,0.8,6.5,-3.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860505,4.3,10.6,-1.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860506,0.1,1.9,-4.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860507,3.0,7.8,-0.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860508,7.5,19.3,-0.6,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860509,10.4,17.0,3.1,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860510,4.9,10.0,0.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860511,3.4,8.6,-1.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860512,2.7,4.3,-0.2,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860513,-1.4,0.0,-2.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860514,-1.5,1.9,-2.7,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860515,-1.1,2.3,-5.4,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860516,1.8,12.8,-5.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860517,10.0,16.7,4.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860518,11.6,16.8,5.0,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860519,12.4,23.2,4.5,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860520,9.3,16.9,3.3,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860521,12.6,15.9,7.8,-9999
GHCND:CA002202400,HAY RIVER A CA,165,60.8333,-115.7833,19860522,10.0,15.0,5.0,-9999
