STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730523,12,-9999,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730524,12.6,18,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730525,10.4,12,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730526,10.9,16,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730527,11.7,16,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730528,15.4,22,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730529,16.2,21,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730530,16.8,21,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730531,15.4,18,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730601,12.6,15,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730602,9.8,13,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730603,11.9,16,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730604,12,16,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730605,12.1,17,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730606,13.3,18,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730607,17.3,24,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730608,15.1,20,12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730609,14.6,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730610,11.8,14,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730611,10.8,-9999,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730612,14.7,18,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730613,13,17,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730614,10.3,13,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730615,10.8,-9999,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730616,12.2,18,5
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730617,13.6,18,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730618,16.7,23,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730619,16.5,22,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730620,15.1,21,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730621,16.8,23,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730622,18.6,25,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730623,18,26,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730624,18.2,24,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730625,16.9,25,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730626,18.6,26,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730627,17.4,22,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730628,15.8,18,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730629,16.3,21,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730630,17.9,23,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730701,18.9,-9999,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730702,21,26,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730703,20.6,27,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730704,17.7,24,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730705,19,26,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730706,22.9,28,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730707,21.9,27,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730708,16.4,18,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730709,14.3,18,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730710,15.4,19,12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730711,16.8,22,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730712,16.3,24,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730713,15.9,20,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730714,17.1,24,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730715,19.6,25,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730716,21.1,-9999,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730717,16.8,21,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730718,15.1,20,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730719,16.1,20,12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730720,15.4,18,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730721,15.8,30,12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730722,15.9,20,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730723,14.9,21,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730724,15.3,20,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730725,15.3,-9999,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730726,17.1,22,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730727,17.4,21,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730728,20.7,28,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730729,18.9,26,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730730,17.4,21,15
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730731,16,19,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730801,16.9,-9999,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730802,18.7,24,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730803,18.7,25,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730804,16.1,20,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730805,13.9,19,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730806,17.6,24,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730807,15.1,20,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730808,13.4,17,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730809,14.6,18,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730810,15.3,18,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730811,13.9,18,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730812,15.6,20,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730813,15.5,24,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730814,16.9,27,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730815,18.4,28,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730816,19.6,28,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730817,20.4,27,14
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730818,15.6,19,13
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730819,15.1,18,12
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730820,13.3,16,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730821,12.7,17,9
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730822,12.2,16,6
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730823,12.9,16,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730824,14.6,19,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730825,13,19,7
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730826,13.2,21,4
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730827,16.3,24,8
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730828,14.4,20,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730829,14.4,19,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730830,13.2,-9999,10
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730831,13.7,17,11
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730901,13.4,17,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730902,14.2,17,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730903,14.1,17,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730904,14.6,19,-9999
GHCND:DAM00006030,FLYVESTATION AALBORG DA,19730905,15.5,18,-9999
