"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"7738","Deviation","1.6","0.1","-0.8","-1.8","0.6","-0.6","1.8","1.8","1.4","0.3","-0.4","1.0"
"7739","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7741","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"7742","1","4.9","6.8","3.1","2.3","8.7","7.2","9.5","13.5","13.7","9.1","8.0","8.2"
"7743","2","6.5","6.7","2.1","1.8","7.6","7.0","9.7","12.7","10.9","8.7","7.5","8.3"
"7744","3","7.2","4.4","2.2","2.0","8.6","8.1","11.7","13.1","8.7","8.7","8.9","5.7"
"7745","4","6.2","4.7","3.5","2.3","7.7","10.0","12.0","12.0","10.7","9.4","9.9","0.5"
"7746","5","5.2","3.1","5.2","4.5","5.5","9.3","10.4","15.3","11.3","9.4","9.8","3.1"
"7747","6","4.6","3.8","8.4","5.9","5.5","9.7","11.8","12.2","11.8","11.2","7.5","5.1"
"7748","7","4.3","3.7","9.2","7.0","6.3","10.1","10.4","12.8","10.6","9.9","7.1","2.0"
"7749","8","6.4","2.8","4.8","7.3","5.9","10.6","9.7","13.6","9.7","9.0","5.7","-1.3"
"7750","9","4.5","2.3","5.7","5.4","6.2","8.0","9.9","16.1","8.2","6.7","8.0","1.4"
"7751","10","3.3","7.1","5.2","7.0","6.4","8.9","12.5","19.3","9.3","5.2","7.7","3.8"
"7752","11","2.1","5.2","5.6","8.8","4.4","8.8","12.3","16.9","10.0","5.3","8.9","-0.2"
"7753","12","5.0","4.0","5.8","11.1","6.0","9.2","12.7","14.0","11.1","4.9","7.6","-3.4"
"7754","13","4.6","3.7","4.1","9.8","7.5","12.8","10.1","13.9","11.1","5.9","5.2","-9.1"
"7755","14","4.5","1.3","3.0","13.4","6.8","18.4","9.7","18.3","12.5","5.8","6.4","-5.5"
"7756","15","5.7","1.6","4.0","14.1","9.5","14.5","9.7","17.3","10.0","6.6","5.2","-1.6"
"7757","16","3.8","1.0","4.7","11.5","9.1","12.4","9.5","15.6","10.0","4.5","8.0","-1.0"
"7758","17","4.3","0.0","2.0","8.1","7.3","11.7","8.4","14.5","11.2","6.7","8.3","-4.1"
"7759","18","3.4","0.9","1.0","8.1","7.7","11.3","8.5","12.9","11.0","9.4","7.7","-1.9"
"7760","19","5.9","3.6","4.4","6.5","7.6","12.5","9.8","12.0","14.2","8.6","5.3","3.6"
"7761","20","4.5","3.3","5.8","6.4","7.1","11.4","11.2","15.5","13.9","8.6","2.2","3.7"
"7762","21","5.0","1.7","3.8","3.0","10.0","10.6","12.7","14.0","12.4","11.1","3.3","2.0"
"7763","22","1.7","1.7","3.4","1.8","11.8","11.5","12.6","13.9","13.9","9.6","1.5","2.3"
"7764","23","1.8","2.6","3.3","2.7","13.0","10.7","14.6","11.4","11.9","8.6","-2.4","2.6"
"7765","24","7.5","1.6","2.4","3.4","13.2","9.7","15.9","11.3","12.2","7.7","-2.1","3.2"
"7766","25","7.5","1.0","2.9","5.5","7.5","11.9","14.7","11.2","13.6","7.9","3.7","7.5"
"7767","26","5.1","1.1","4.6","3.8","7.7","13.2","19.3","11.3","9.3","7.3","3.0","7.3"
"7768","27","5.5","4.3","4.4","4.3","6.2","11.1","13.6","11.1","10.7","6.2","5.0","5.7"
"7769","28","5.0","4.2","5.9","4.5","7.9","17.1","13.6","9.9","7.5","7.0","5.3","6.4"
"7770","29","4.8","-","3.8","4.2","6.6","11.2","14.7","10.0","9.0","7.9","6.7","5.4"
"7771","30","2.5","-","3.7","4.9","5.0","10.4","13.2","13.5","7.2","8.5","7.5","4.1"
"7772","31","5.9","-","2.6","-","6.5","-","11.3","13.2","-","6.8","-","3.2"
"7773","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"7774","Minimum","1.7","0.0","1.0","1.8","4.4","7.0","8.4","9.9","7.2","4.5","-2.4","-9.1"
"7775","Date","22","17","18","2","11","2","17","28","30","16","23","13"
"7776","Maximum","7.5","7.1","9.2","14.1","13.2","18.4","19.3","19.3","14.2","11.2","9.9","8.3"
"7777","Date","24","10","7","15","24","14","26","10","19","6","4","2"
"7778","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"7779","Mean","4.8","3.1","4.2","6.0","7.6","11.0","11.8","13.6","10.9","7.8","5.9","2.2"
"7780","Normal","0.5","0.7","1.9","4.0","8.0","10.8","12.5","13.0","10.7","7.5","3.9","1.6"
"7781","Deviation","4.3","2.4","2.3","2.0","-0.4","0.2","-0.7","0.6","0.2","0.3","2.0","0.6"
"7782","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7784","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"7785","1","1.3","7.0","2.4","4.2","7.2","8.8","15.3","14.1","15.8","8.1","3.4","7.7"
"7786","2","-1.0","7.0","-0.8","2.1","10.0","10.0","14.2","17.0","13.6","9.5","4.4","8.1"
"7787","3","-1.9","6.6","1.1","-0.5","7.5","10.3","11.3","15.4","16.1","12.1","6.0","5.8"
"7788","4","3.8","5.6","4.0","-1.7","8.1","15.1","12.8","13.3","15.9","10.8","5.2","2.7"
"7789","5","4.0","7.7","2.9","0.2","9.4","14.1","15.6","12.4","13.9","8.6","6.7","3.3"
"7790","6","6.4","7.5","2.9","-1.5","7.6","14.9","17.3","12.4","13.4","8.6","6.4","6.1"
"7791","7","5.1","7.4","2.3","1.5","6.5","19.2","11.9","12.5","15.0","7.5","8.6","0.3"
"7792","8","5.2","4.2","4.5","2.9","5.7","15.1","13.3","11.6","14.0","5.1","8.3","1.2"
"7793","9","4.7","4.1","1.8","5.8","7.3","10.3","13.0","12.2","12.0","9.4","6.8","-1.7"
"7794","10","5.2","5.0","-1.1","4.6","6.3","10.9","12.3","12.3","12.2","7.2","7.7","2.3"
"7795","11","4.3","5.1","0.1","5.6","6.1","9.2","12.4","13.3","12.8","7.1","4.0","3.4"
"7796","12","0.8","3.7","1.7","8.4","7.8","9.3","11.1","14.3","11.8","8.3","4.7","1.8"
"7797","13","1.2","3.7","1.6","6.4","7.0","8.7","11.8","15.0","10.9","12.5","4.3","2.5"
"7798","14","5.4","2.9","3.7","8.6","7.1","9.6","11.3","16.1","11.4","13.0","3.1","7.2"
"7799","15","5.7","0.5","6.7","8.8","5.1","10.3","11.8","14.3","9.8","12.4","5.6","7.4"
"7800","16","5.0","-0.2","5.0","7.2","5.5","10.1","13.6","18.4","11.0","15.7","7.5","6.8"
"7801","17","2.9","1.0","6.7","6.7","5.5","10.6","13.9","18.8","10.8","10.1","5.8","7.4"
"7802","18","1.9","5.0","6.1","7.2","4.9","15.0","11.9","15.4","8.4","6.8","4.8","6.7"
"7803","19","2.8","5.7","6.6","7.3","5.2","16.4","11.4","13.0","11.3","6.5","3.0","3.7"
"7804","20","3.3","5.2","3.6","7.4","5.9","16.2","15.3","15.6","11.2","6.5","-2.4","1.3"
"7805","21","4.7","5.6","5.4","10.6","5.3","14.8","12.9","14.2","10.5","7.4","-4.8","2.6"
"7806","22","6.0","5.4","6.0","8.0","6.3","16.5","12.9","13.0","9.6","9.8","0.4","2.8"
"7807","23","5.0","7.8","3.0","5.7","7.8","16.9","12.5","12.5","7.4","8.4","1.7","6.3"
"7808","24","3.7","5.7","5.5","8.1","6.9","17.1","12.5","11.7","8.9","7.7","0.4","8.7"
"7809","25","3.2","3.7","4.9","12.3","4.9","13.8","13.2","11.5","7.8","9.4","0.2","5.4"
"7810","26","-2.3","5.1","5.6","5.3","4.6","10.7","12.5","11.8","7.0","8.9","4.5","5.7"
"7811","27","-4.0","2.5","6.8","3.8","7.7","10.8","12.7","12.0","7.4","11.4","5.8","4.5"
"7812","28","-1.0","3.8","4.8","4.4","8.0","12.1","12.6","13.6","9.0","8.4","6.7","4.6"
"7813","29","-1.2","-","4.9","7.1","9.3","10.0","13.1","16.2","8.1","8.2","3.7","4.7"
"7814","30","0.8","-","4.2","5.4","9.0","10.4","13.1","20.1","7.5","7.8","4.6","4.4"
"7815","31","6.9","-","3.5","-","8.7","-","13.7","17.3","-","7.0","-","2.2"
"7816","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"7817","Minimum","-4.0","-0.2","-1.1","-1.7","4.6","8.7","11.1","11.5","7.0","5.1","-4.8","-1.7"
"7818","Date","27","16","10","4","26","13","12","25","26","8","21","9"
"7819","Maximum","6.9","7.8","6.8","12.3","10.0","19.2","17.3","20.1","16.1","15.7","8.6","8.7"
"7820","Date","31","23","27","25","2","7","6","30","3","16","7","24"
"7821","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"7822","Mean","2.8","4.8","3.8","5.4","6.9","12.6","13.0","14.2","11.2","9.0","4.2","4.4"
"7823","Normal","0.5","0.7","1.9","4.0","8.0","10.8","12.5","13.0","10.7","7.5","3.9","1.6"
"7824","Deviation","2.3","4.1","1.9","1.4","-1.1","1.8","0.5","1.2","0.5","1.5","0.3","2.8"
"7825","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7827","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"7828","1","1.4","0.9","-0.2","2.8","7.0","5.2","11.2","16.8","16.4","6.9","7.2","6.7"
"7829","2","3.4","-0.3","1.1","7.0","6.1","5.6","12.2","15.5","13.2","7.9","9.0","6.4"
"7830","3","5.0","-0.9","1.0","5.8","6.1","6.4","12.2","15.0","13.1","7.1","7.2","5.4"
"7831","4","2.3","2.4","2.2","5.6","5.4","5.9","12.5","14.6","10.1","9.0","6.9","6.1"
"7832","5","1.2","2.4","2.7","8.0","3.8","7.3","11.5","16.0","8.8","9.9","5.7","4.8"
"7833","6","1.4","1.5","4.2","8.4","5.0","8.1","11.5","14.9","8.4","9.7","3.8","5.4"
"7834","7","2.6","-0.7","3.3","8.1","6.1","9.4","11.5","15.0","8.9","11.2","5.2","6.9"
"7835","8","-1.0","-2.3","3.6","7.0","4.3","7.2","16.9","14.3","9.6","11.4","3.5","6.1"
"7836","9","-1.8","-4.0","7.2","6.3","5.9","8.9","15.6","14.5","10.0","11.3","5.2","4.0"
"7837","10","-1.5","-4.4","5.9","7.7","7.1","14.9","13.5","13.4","10.2","10.5","2.2","7.3"
"7838","11","-1.2","-5.0","5.5","11.4","6.6","11.7","12.6","12.6","8.6","9.8","4.7","6.2"
"7839","12","-1.6","-4.8","5.2","9.3","6.4","11.3","17.8","12.3","8.9","10.6","4.5","7.7"
"7840","13","1.3","-4.3","1.2","4.7","7.5","14.1","12.7","12.6","8.7","10.5","5.4","5.4"
"7841","14","4.9","-2.6","-1.0","5.5","6.5","11.9","13.3","13.8","10.5","10.1","5.4","3.7"
"7842","15","5.5","-1.3","-0.3","4.1","7.2","11.3","12.1","13.8","11.9","8.6","2.3","3.6"
"7843","16","3.9","-1.2","-0.7","3.5","6.1","10.0","11.5","15.3","9.4","8.5","4.1","3.8"
"7844","17","2.0","-1.2","2.8","-0.9","5.6","11.1","11.7","13.7","10.6","10.5","3.0","4.8"
"7845","18","5.9","0.5","5.8","0.1","7.3","12.1","12.5","13.6","12.3","6.8","-0.7","6.2"
"7846","19","5.1","2.1","7.8","-0.4","8.4","11.8","14.8","12.6","11.9","2.7","2.3","2.8"
"7847","20","5.3","5.2","5.9","0.8","6.4","9.9","12.7","13.0","9.3","3.0","4.4","1.2"
"7848","21","4.1","5.0","6.2","4.1","6.5","9.7","11.8","14.4","10.3","6.4","5.5","1.8"
"7849","22","6.5","5.5","5.7","3.8","4.9","11.4","11.8","15.4","13.4","5.7","6.7","-1.6"
"7850","23","4.7","4.1","3.3","5.0","4.9","13.0","12.4","20.1","10.8","6.8","8.2","-1.7"
"7851","24","5.2","4.2","3.2","8.9","5.6","12.5","12.5","13.7","9.1","8.2","8.9","-0.6"
"7852","25","7.0","3.0","5.7","6.3","5.8","12.1","12.7","12.7","10.3","7.9","8.6","3.5"
"7853","26","6.6","-0.1","6.3","6.6","6.8","10.5","13.0","13.5","9.6","7.3","9.0","0.1"
"7854","27","5.1","-0.2","7.7","8.2","7.2","9.2","14.1","13.0","8.9","6.1","7.0","2.8"
"7855","28","4.8","-1.0","5.4","6.7","7.5","10.8","15.3","13.1","7.2","5.4","8.4","7.3"
"7856","29","5.0","-","5.2","6.4","7.2","10.8","14.6","13.7","6.6","3.8","7.2","2.8"
"7857","30","5.0","-","2.4","9.3","7.5","10.1","14.7","12.0","7.2","5.1","9.0","3.2"
"7858","31","2.9","-","1.0","-","5.6","-","15.5","12.9","-","4.7","-","5.8"
"7859","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"7860","Minimum","-1.8","-5.0","-1.0","-0.9","3.8","5.2","11.2","12.0","6.6","2.7","-0.7","-1.7"
"7861","Date","9","11","14","17","5","1","1","30","29","19","18","23"
"7862","Maximum","7.0","5.5","7.8","11.4","8.4","14.9","17.8","20.1","16.4","11.4","9.0","7.7"
"7863","Date","25","22","19","11","19","10","12","23","1","8","2","12"
"7864","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"7865","Mean","3.3","0.1","3.7","5.7","6.3","10.1","13.2","14.1","10.1","7.9","5.7","4.1"
"7866","Normal","0.5","0.7","1.9","4.0","8.0","10.8","12.5","13.0","10.7","7.5","3.9","1.6"
"7867","Deviation","2.8","-0.6","1.8","1.7","-1.7","-0.7","0.7","1.1","-0.6","0.4","1.8","2.5"
"7868","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7870","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"7871","1","5.1","5.6","6.4","-2.4","8.0","17.3","9.8","11.7","13.2","10.1","4.4","7.4"
"7872","2","4.4","4.3","5.4","-3.3","6.8","21.6","9.2","15.2","12.1","8.3","4.3","5.3"
"7873","3","4.5","2.5","4.8","-1.9","5.5","21.3","9.5","13.8","12.0","8.8","1.4","6.9"
"7874","4","1.8","1.2","5.3","1.8","7.0","18.8","10.1","13.3","11.0","9.4","4.7","3.8"
"7875","5","2.8","0.4","7.0","3.7","7.2","12.7","10.9","13.4","9.0","9.6","1.7","2.5"
"7876","6","1.3","1.8","7.8","3.3","5.9","12.1","10.1","14.1","9.7","10.1","6.3","2.9"
"7877","7","2.7","7.0","5.4","3.3","5.6","12.3","10.9","12.1","13.4","8.7","3.1","4.6"
"7878","8","3.3","5.7","6.6","2.8","4.3","20.7","11.4","11.3","14.3","8.7","5.2","4.8"
"7879","9","1.3","7.4","7.1","4.8","3.6","21.8","11.7","11.8","13.7","9.0","6.1","5.6"
"7880","10","3.7","5.6","7.1","6.7","3.6","15.5","11.3","14.1","13.2","8.0","6.4","8.6"
"7881","11","4.6","3.5","2.4","4.6","3.8","13.6","11.2","12.5","14.1","4.9","5.3","4.8"
"7882","12","3.1","3.9","2.1","3.4","5.2","21.2","14.3","11.2","14.1","2.8","4.8","3.5"
"7883","13","5.6","-0.9","3.4","1.5","7.2","16.0","14.2","14.3","13.4","4.9","1.2","1.4"
"7884","14","7.0","-5.2","0.1","1.1","12.1","14.6","11.9","14.7","13.2","2.7","3.8","3.1"
"7885","15","6.0","-4.7","1.9","-0.5","12.2","13.2","10.6","12.6","10.9","-0.9","2.7","4.4"
"7886","16","1.1","-4.1","0.6","0.8","6.5","9.6","10.2","12.8","10.0","-2.4","-0.6","5.6"
"7887","17","0.3","0.8","5.6","1.1","6.8","9.4","11.0","13.0","10.3","-0.8","0.3","4.7"
"7888","18","0.7","2.1","6.5","2.2","6.8","11.2","13.3","12.8","11.0","0.0","-0.4","7.1"
"7889","19","0.8","2.7","4.6","3.4","9.2","11.2","14.5","11.9","11.8","1.0","4.0","5.2"
"7890","20","5.4","5.3","4.5","1.0","11.1","10.5","15.1","12.2","13.1","0.5","1.0","2.1"
"7891","21","5.8","4.2","4.2","3.0","8.5","6.3","15.2","15.8","11.5","-0.4","4.1","2.0"
"7892","22","4.7","5.1","6.3","4.0","15.9","7.1","13.6","17.1","13.5","2.0","1.5","5.4"
"7893","23","6.0","2.6","4.8","0.7","9.1","10.0","12.2","14.7","14.9","0.8","-1.1","5.8"
"7894","24","6.2","4.0","2.7","2.2","8.8","13.4","15.0","12.3","15.3","0.0","6.0","3.6"
"7895","25","4.2","4.4","3.0","5.3","10.4","14.5","13.6","12.1","12.5","-0.9","7.1","6.9"
"7896","26","5.1","4.4","3.1","8.0","11.5","14.3","14.0","12.4","10.5","1.7","4.2","3.5"
"7897","27","6.9","5.2","1.7","10.1","10.9","12.4","13.6","12.9","10.0","1.6","3.9","4.8"
"7898","28","6.9","4.9","1.1","8.5","16.8","10.8","12.7","14.2","11.7","0.7","4.8","6.7"
"7899","29","6.2","4.9","0.1","7.2","14.2","10.5","12.9","12.9","11.8","-2.3","5.4","5.5"
"7900","30","6.3","-","-1.0","6.1","13.7","9.6","12.3","11.4","10.1","-3.8","5.8","5.5"
"7901","31","5.9","-","-1.9","-","15.6","-","11.3","14.3","-","-2.1","-","3.2"
"7902","Number of","31","29","31","30","31","30","31","31","30","31","30","31"
"7903","Minimum","0.3","-5.2","-1.9","-3.3","3.6","6.3","9.2","11.2","9.0","-3.8","-1.1","1.4"
"7904","Date","17","14","31","2","9","21","2","12","5","30","23","13"
"7905","Maximum","7.0","7.4","7.8","10.1","16.8","21.8","15.2","17.1","15.3","10.1","7.1","8.6"
"7906","Date","14","9","6","27","28","9","21","22","24","1","25","10"
"7907","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"7908","Mean","4.2","2.9","3.8","3.1","8.8","13.8","12.2","13.2","12.2","3.2","3.6","4.7"
"7909","Normal","0.5","0.7","1.9","4.0","8.0","10.8","12.5","13.0","10.7","7.5","3.9","1.6"
"7910","Deviation","3.7","2.2","1.9","-0.9","0.8","3.0","-0.3","0.2","1.5","-4.3","-0.3","3.1"
"7911","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7913","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"7914","1","5.1","7.2","0.3","3.0","14.5","6.8","11.7","13.1","10.8","9.8","7.1","-0.4"
"7915","2","7.3","6.8","0.9","4.6","8.0","7.0","11.4","12.9","10.3","9.4","6.9","3.2"
"7916","3","6.2","5.4","2.0","5.0","4.8","6.8","11.0","16.9","10.8","11.5","4.9","3.2"
"7917","4","3.4","3.7","2.9","5.8","4.9","7.2","11.3","13.8","10.2","10.5","4.5","4.6"
"7918","5","2.5","1.4","3.8","4.7","5.8","9.3","9.6","13.0","10.0","8.7","2.4","4.1"
"7919","6","5.7","2.3","2.4","4.1","9.0","9.6","9.5","13.2","9.0","7.6","6.4","3.7"
"7920","7","5.0","4.3","3.7","2.7","8.4","7.0","10.3","14.8","9.6","5.6","3.7","5.6"
"7921","8","4.1","5.8","5.5","1.6","6.7","7.2","10.1","15.2","10.4","6.3","2.5","2.3"
"7922","9","5.0","5.5","2.1","4.3","7.0","7.6","11.7","12.7","10.6","8.1","5.3","3.7"
"7923","10","3.3","5.7","1.1","5.2","7.5","7.7","10.7","14.2","12.9","5.7","6.7","1.9"
"7924","11","3.2","5.0","3.6","5.2","6.6","7.5","15.2","12.8","14.1","4.3","8.1","-0.5"
"7925","12","3.0","5.5","4.5","4.2","4.0","6.6","15.1","11.0","12.7","2.9","5.1","1.1"
"7926","13","4.0","6.1","6.0","4.6","3.6","6.1","20.0","10.6","10.6","4.6","5.5","0.8"
"7927","14","3.1","5.8","7.0","6.2","5.3","6.4","16.3","14.0","9.1","1.2","5.0","-0.6"
"7928","15","3.5","4.2","6.7","5.0","9.6","6.1","19.2","15.9","7.9","2.0","5.2","1.0"
"7929","16","4.7","1.1","4.1","6.8","7.5","7.6","14.4","13.4","7.5","1.9","7.4","1.0"
"7930","17","5.9","0.9","4.1","3.2","9.9","8.5","11.7","11.6","7.3","2.6","7.8","0.8"
"7931","18","3.6","0.2","2.9","3.3","15.5","9.3","10.9","11.1","8.6","7.3","10.4","0.9"
"7932","19","1.9","0.1","1.4","2.3","17.7","9.1","12.0","12.1","8.6","8.1","9.3","5.8"
"7933","20","3.5","-3.1","2.2","2.9","17.7","8.5","13.2","12.3","8.7","3.7","2.7","1.4"
"7934","21","5.0","-5.0","3.5","5.9","12.7","9.0","12.9","12.4","11.7","2.1","-1.6","1.9"
"7935","22","3.2","-1.0","5.3","5.6","12.6","8.6","13.0","12.2","10.6","2.2","-1.7","0.8"
"7936","23","0.7","2.1","4.2","8.3","8.4","8.9","13.3","11.9","10.3","6.6","0.7","-1.8"
"7937","24","-2.0","4.1","1.8","12.9","6.2","9.0","16.2","12.4","9.1","3.9","1.4","-2.7"
"7938","25","-1.4","3.6","2.6","7.3","6.1","9.3","15.7","11.8","11.0","6.1","3.7","-2.9"
"7939","26","-0.5","1.6","2.3","5.9","5.4","11.2","13.5","10.7","10.2","8.0","3.1","-2.8"
"7940","27","1.0","0.9","2.1","7.9","5.8","12.4","11.8","10.4","9.0","8.6","3.6","-3.3"
"7941","28","-0.6","0.5","1.3","6.0","7.4","9.7","12.9","11.4","9.1","5.8","2.6","0.4"
"7942","29","-0.1","-","1.6","9.7","7.9","9.4","14.0","11.4","10.4","6.0","1.3","-2.0"
"7943","30","4.6","-","0.7","9.7","7.9","13.0","17.3","12.6","10.2","7.3","-0.6","3.2"
"7944","31","5.5","-","2.5","-","7.7","-","13.0","12.5","-","7.3","-","3.5"
"7945","Number of","31","28","31","30","31","30","31","31","30","31","30","31"
"7946","Minimum","-2.0","-5.0","0.3","1.6","3.6","6.1","9.5","10.4","7.3","1.2","-1.7","-3.3"
"7947","Date","24","21","1","8","13","13","6","27","17","14","22","27"
"7948","Maximum","7.3","7.2","7.0","12.9","17.7","13.0","20.0","16.9","14.1","11.5","10.4","5.8"
"7949","Date","2","1","14","24","19","30","13","3","11","3","18","19"
"7950","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"7951","Mean","3.2","2.9","3.1","5.5","8.5","8.4","13.2","12.7","10.0","6.0","4.3","1.2"
"7952","Normal","0.5","0.7","1.9","4.0","8.0","10.8","12.5","13.0","10.7","7.5","3.9","1.6"
"7953","Deviation","2.7","2.2","1.2","1.5","0.5","-2.4","0.7","-0.3","-0.7","-1.5","0.4","-0.4"
"7954","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7956","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"7957","1","1.9","-2.0","-4.0","7.8","2.6","7.4","-","-","-","-","4.4","7.9"
"7958","2","0.1","-3.1","-4.7","5.2","4.7","8.1","-","-","-","-","4.3","5.6"
"7959","3","-0.3","-3.7","-2.3","5.4","6.4","10.2","-","-","-","-","5.1","5.3"
"7960","4","-1.9","-3.0","3.1","5.1","10.9","13.9","-","-","-","-","8.8","5.7"
"7961","5","-2.2","-4.9","6.0","3.7","12.7","10.1","-","-","-","-","7.9","4.2"
"7962","6","0.2","-5.7","3.4","5.4","11.4","8.2","-","-","-","-","4.9","4.8"
"7963","7","-0.3","-1.8","2.4","6.3","10.2","9.2","-","-","-","-","5.5","5.0"
"7964","8","0.5","-1.2","5.1","4.4","10.9","8.9","-","-","-","-","2.8","6.2"
"7965","9","0.9","-2.0","3.2","6.1","8.8","8.3","-","-","-","-","-1.2","6.7"
"7966","10","-0.4","-3.4","2.2","3.6","7.2","8.3","-","-","-","-","-2.6","5.1"
"7967","11","1.2","-3.2","2.2","4.4","7.7","8.5","-","-","-","-","-3.9","4.7"
"7968","12","1.3","-3.0","4.2","6.1","9.6","9.0","-","-","-","-","-2.8","5.0"
"7969","13","3.5","-0.1","3.0","5.0","9.1","8.8","-","-","-","-","1.7","2.5"
"7970","14","3.7","-0.1","2.0","4.1","5.9","7.8","-","-","-","-","4.2","3.1"
"7971","15","0.2","1.0","1.6","4.7","5.0","5.4","-","-","-","-","4.1","3.0"
"7972","16","-2.6","1.8","0.5","3.8","4.0","5.9","-","-","-","-","4.1","2.8"
"7973","17","-1.4","2.8","0.8","1.3","3.3","6.6","-","-","-","3.7","1.3","3.4"
"7974","18","-3.7","1.3","0.4","2.1","4.9","11.3","-","-","-","2.6","2.9","6.4"
"7975","19","1.2","0.9","-1.7","2.1","5.9","10.3","-","-","-","2.5","3.3","5.4"
"7976","20","2.6","0.6","-1.1","2.6","6.6","8.8","-","-","-","5.6","6.5","4.7"
"7977","21","4.7","1.9","-1.2","6.6","6.5","12.5","-","-","-","6.4","5.7","4.4"
"7978","22","1.6","0.0","0.8","4.8","6.2","9.2","-","-","-","7.4","7.6","3.5"
"7979","23","-0.2","0.0","3.3","4.3","5.6","8.1","-","-","-","8.0","5.9","6.3"
"7980","24","-0.1","-1.8","1.0","6.0","6.6","8.4","-","-","-","10.6","4.4","6.0"
"7981","25","-0.3","-1.5","2.1","12.7","6.1","9.2","-","-","-","7.7","5.1","6.7"
"7982","26","-5.7","-1.3","1.4","11.8","5.9","9.2","-","-","-","6.7","6.7","-"
"7983","27","-4.7","-2.4","1.5","7.7","4.8","9.1","-","-","-","6.0","7.3","-"
"7984","28","-6.6","-4.2","3.4","7.0","5.4","9.8","-","-","-","4.7","6.0","-"
"7985","29","-2.3","-","5.0","4.1","5.6","15.4","-","-","-","4.6","4.3","-"
"7986","30","-2.4","-","4.1","2.9","6.6","9.5","-","-","-","4.7","6.5","-"
"7987","31","-2.5","-","8.2","-","7.1","-","-","-","-","5.0","-","-"
"7988","Number of","31","28","31","30","31","30","-","-","-","15","30","25"
"7989","Minimum","-6.6","-5.7","-4.7","1.3","2.6","5.4","-","-","-","2.5","-3.9","2.5"
"7990","Date","28","6","2","17","1","15","-","-","-","19","11","13"
"7991","Maximum","4.7","2.8","8.2","12.7","12.7","15.4","-","-","-","10.6","8.8","7.9"
"7992","Date","21","17","31","25","5","29","-","-","-","24","4","1"
"7993","Total","-","-","-","-","-","-","-","-","-","-","-","-"
"7994","Mean","-0.5","-1.4","1.8","5.2","6.9","9.2","-","-","-","5.7","4.0","5.0"
"7995","Normal","0.5","0.7","1.9","4.0","8.0","10.8","12.5","13.0","10.7","7.5","3.9","1.6"
"7996","Deviation","-1.0","-2.1","-0.1","1.2","-1.1","-1.6","-","-","-","-1.8","0.1","3.4"
"7997","%","-","-","-","-","-","-","-","-","-","-","-","-"
"7998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7999","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"8000","1","-","3.2","2.4","2.1","5.0","12.3","9.3","14.4","14.8","4.6","5.0","5.5"
"8001","2","-","0.5","2.2","0.2","6.6","12.2","10.3","13.0","15.0","6.9","2.4","4.5"
"8002","3","2.8","2.6","1.9","1.8","6.3","9.1","10.5","11.8","15.5","10.7","-0.7","3.9"
"8003","4","3.3","5.1","0.1","1.1","5.8","9.0","9.8","10.9","16.0","11.7","1.0","3.4"
"8004","5","3.0","4.8","-0.8","1.7","6.3","9.4","8.5","12.2","16.7","13.2","6.9","2.8"
"8005","6","3.5","3.1","0.2","2.5","6.0","9.6","10.1","11.0","16.9","12.0","3.2","1.2"
"8006","7","4.7","-0.6","1.0","1.7","5.9","11.1","11.6","9.6","17.4","11.7","2.9","0.6"
