"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13"
"83","Normal","-7.2","-7.1","-2.3","2.8","9.4","14.1","15.2","13.9","9.3","4.7","-1.5","-5.7"
"84","Deviation","-3.6","1.9","3.0","0.2","-1.7","-0.8","-0.2","0.5","1.0","0.7","3.1","-0.8"
"85","%","-","-","-","-","-","-","-","-","-","-","-","-"
"86","4780 GARDERMOEN, TAM 1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Date","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"88","1","-11.0","-0.1","-6.9","0.0","6.6","14.7","18.2","17.1","15.0","8.8","-4.1","-6.3"
"89","2","-17.2","-7.6","-2.4","-1.6","6.6","15.9","19.5","16.0","15.2","7.4","-3.6","-9.0"
"90","3","-17.9","-7.6","-5.5","-0.3","3.1","17.8","21.2","16.1","15.9","6.9","-3.5","-8.3"
"91","4","-11.0","-6.3","-2.6","-0.5","4.2","11.9","15.9","17.6","17.6","4.8","-6.3","-9.6"
"92","5","-11.8","-1.9","-3.0","-1.4","2.1","15.4","13.8","18.1","17.1","1.3","-13.2","-6.3"
"93","6","-21.7","-1.9","-0.3","-3.1","6.0","14.3","14.5","16.4","16.4","-1.2","-8.8","-6.6"
"94","7","-21.8","-2.4","-5.8","-4.1","6.9","13.2","13.9","17.4","15.9","0.0","-5.4","-7.3"
"95","8","-18.2","-3.4","-4.1","-2.9","3.8","12.8","13.1","17.6","17.5","0.9","-5.5","-7.1"
"96","9","-24.0","-3.4","-1.8","-0.7","3.7","10.0","8.7","17.6","16.4","0.0","-9.2","-6.0"
"97","10","-22.2","-11.6","-4.7","-1.0","1.6","11.5","11.5","16.8","17.4","-0.1","-3.9","-4.4"
"98","11","-15.2","-15.1","-3.4","1.1","6.1","13.5","10.6","15.9","15.2","0.8","-5.0","-9.6"
"99","12","-15.8","-15.2","-4.4","5.8","6.9","18.9","11.4","12.1","10.1","4.7","-11.1","-11.4"
"100","13","-14.2","-3.2","2.7","6.5","4.8","19.1","10.2","12.1","5.4","8.1","-8.7","-10.7"
"101","14","-7.5","-10.8","-2.3","5.0","5.6","20.0","11.7","8.6","8.0","8.8","-7.6","-12.1"
"102","15","-5.3","-8.5","-8.7","3.4","6.9","19.9","14.1","11.6","8.5","3.0","-11.6","-7.4"
"103","16","-6.0","-13.0","-8.4","4.1","7.7","18.3","15.7","11.4","6.6","3.4","-11.2","-4.1"
"104","17","-7.1","-14.5","-0.7","4.8","5.9","19.9","15.5","8.3","5.6","3.6","-12.6","-3.5"
"105","18","-7.8","-17.3","-0.7","5.2","5.8","20.0","13.9","12.2","8.1","2.3","-13.4","-3.0"
"106","19","-9.6","-16.9","-6.5","5.9","8.2","16.6","12.4","11.2","8.9","-0.2","-5.7","-3.9"
"107","20","-1.1","-15.0","1.2","7.6","7.2","15.5","13.2","11.3","7.0","3.5","-2.8","-10.7"
"108","21","-6.3","-14.4","2.2","9.8","6.4","15.6","14.4","10.9","8.8","8.6","-4.0","-1.4"
"109","22","-11.8","-14.4","1.4","8.5","7.1","13.8","14.5","15.5","9.8","10.7","1.7","-4.3"
"110","23","-8.6","-17.4","0.5","8.2","10.1","13.3","14.4","16.9","7.3","5.7","1.9","-1.4"
"111","24","-0.8","-9.3","3.2","8.1","10.1","12.5","14.7","17.0","6.2","1.2","0.8","-1.2"
"112","25","-4.8","-10.1","3.1","9.2","10.5","12.2","14.4","19.9","2.2","-1.1","-4.7","-2.9"
"113","26","-6.1","-4.6","2.6","10.1","8.6","13.0","16.0","18.5","-0.2","5.9","2.0","-7.3"
"114","27","-7.6","-8.1","4.8","11.7","9.5","13.0","15.9","18.4","4.0","0.1","-0.7","-8.5"
"115","28","-9.3","-9.1","6.7","9.7","11.3","12.1","16.7","16.3","7.9","-0.6","0.0","-6.4"
"116","29","-7.9","-10.2","2.2","11.0","13.6","13.5","18.0","14.2","10.3","1.5","0.1","-3.5"
"117","30","-3.9","-","4.4","9.7","15.4","13.9","18.1","12.3","9.9","1.1","-1.3","-9.5"
"118","31","-4.0","-","0.5","-","15.7","-","16.2","13.6","-","-1.7","-","-15.7"
